COMID,GNIS_Name,AreaSqKM,TotDASqKM,DivDASqKM
21412749,Colorado River,0.6237,441983.2194,438503.6178
21412755,Colorado River,1.5849,441986.2236,438506.622
21413723,Colorado River,1.9089,572609.484,556079.2974
21413721,Colorado River,0.1476,572609.6316,556079.445
21412777, ,0.3492,572609.9808,0.3492
21412163, ,0.4005,572610.3813,0.7497
21413719,Colorado River,0.8919,572610.5235,556080.3369
21412779, ,0.2133,572610.5946,0.963
21412753,Colorado River,43.5573,572655.0438,556124.8572
21412727,Colorado River,0,572664.816,556134.6294
21412731,Colorado River,0.1674,572664.816,556134.6294
21412725,Colorado River,0.0018,572664.8178,556134.6312
21412723,Colorado River,33.1461,572764.9275,556234.7409
21412861, ,0,572765.1075,0
21413713,Colorado River,0.18,572765.1075,556234.9209
21412139, ,0.1773,572765.2848,0.1773
21412705, ,0.0126,572765.2974,0.1899
21412709,Colorado River,0.2079,572765.3154,556235.1288
21412707,Colorado River,1.7838,572767.2891,556237.1025
21412701,Colorado River,0.1359,572767.4736,556237.287
21412803,Colorado River,0.7479,572768.307,556238.1204
945030254,Colorado River,4.9347,572773.2417,556243.0551
945030255,Colorado River,1.7595,572796.5598,556266.3732
21413711,Colorado River,3.1032,572799.663,556269.4764
21412711,Colorado River,30.5172,572830.1802,556299.9936
21412867,Colorado River,1.1592,572831.3394,556301.1528
21412181,Colorado River,0.6192,572831.9586,556301.772
21412869,Colorado River,0.2169,572832.1755,556301.9889
21412183,Colorado River,0.0981,572832.2736,556302.087
21412871,Colorado River,0.2889,572832.5625,556302.3759
21412757,Colorado River,0.2286,572832.7911,556302.6045
21412639,Colorado River,2.7243,572835.5154,556305.3288
21412847,Colorado River,2.5263,572838.0417,556307.8551
21412845,Colorado River,25.281,572863.3227,556333.1361
21412641,Colorado River,66.1032,572929.4259,556399.2393
21412191,Colorado River,1256.4306,574187.463,557657.2764
21412883,Colorado River,0.8703,574188.3333,557658.1467
